Elevation,Slope,Rainfall,Ave_temps,Soil_fertility,Soil_type,pH,Pollution_level,Standard_yield
602.4487,14.06344,665.4,12.1,0.59,Loamy,5.574501174,0.201647777,0.67730773
773.7714,17.475237,1144.2,13.3,0.63,Sandy,5.642853513,0.70062612,0.525617216
796.44446,23.486315,1030.1,13.15,0.64,Sandy,4.900343746,0.344397223,0.493360906
874.5884,20.04028,1182.4,13.75,0.64,Sandy,4.86540672,0.106260632,0.516875681
489.95352,23.698463,275.9,12.45,0.59,Loamy,6.238623042,0.098622258,0.679503201
362.7507,3.3069782,1808.2,13.4,0.64,Silt,5.622110035,0.259619679,0.558543243
393.69748,4.2143826,1814,13.75,0.64,Silt,6.258796209,0.01585313,0.549820819
317.19836,10.596356,1412.3,13,0.63,Silt,6.375242234,0.019851413,0.538011541
577.583,8.397207,1193.6,13.8,0.61,Loamy,5.850045971,0.889490534,0.543169477
676.0542,24.231682,1323.2,13.5,0.67,Volcanic,5.018165309,0.237434438,0.423868528
483.94836,3.5856297,645.4,12.6,0.55,Loamy,5.597030252,0.00276853,0.625569143
614.2358,4.8814907,1179.2,13.65,0.6,Loamy,6.042677795,0.42037079,0.583414207
634.5237,3.5601125,1691.8,13,0.63,Silt,7.459908122,0.065033229,0.471667628
338.43475,7.981026,1801.4,13.05,0.65,Silt,6.863298481,0.063194484,0.489214241
608.1277,5.83556,804.2,12.2,0.57,Loamy,4.998036483,0.219830282,0.56800846
668.4095,11.379527,1283.2,13.3,0.62,Volcanic,4.506549464,0.068561824,0.726848635
649.1858,11.758632,635.3,12.2,0.58,Sandy,6.762798996,0.460947245,0.447544959
374.45523,23.314842,1823,13.65,0.7,Silt,6.851592612,0.088792768,0.491773887
743.4772,13.972545,1271.6,13.55,0.63,Volcanic,4.034938609,0.036271091,0.41689016
533.50653,36.957676,1677.8,12.9,0.73,Silt,6.725048468,0.170452091,0.436310255
429.6794,10.363134,421,12.55,0.56,Loamy,5.011920917,0.006473109,0.571706988
638.26935,9.697887,1343.6,12.95,0.62,Volcanic,5.201093315,0.771090446,0.404472001
442.31607,7.906821,1761.6,13.75,0.65,Silt,5.526675371,0.030824381,0.484166273
641.44617,5.3720555,654.3,12.3,0.56,Sandy,6.653153293,0.317136951,0.554162187
677.46655,12.327495,939.7,13.25,0.6,Sandy,4.595285849,0.218173677,0.46724959
363.7375,9.799233,1747.9,12.5,0.65,Silt,6.477326094,0.032752759,0.542218139
239.25795,7.6238174,1602.1,12.5,0.64,Silt,7.412492344,5.29E-06,0.30002064
767.3484,10.849078,880.2,12.9,0.59,Sandy,5.228197002,0.379090042,0.407108011
666.95984,12.911469,539.4,12.35,0.57,Sandy,5.537023039,0.141692578,0.460079082
534.1084,18.776329,1004.8,14.25,0.63,Loamy,5.706703757,0.913735136,0.562589917
837.23285,31.039873,932.5,14.4,0.66,Sandy,6.304953014,0.13326911,0.580977962
620.09814,9.491573,811.7,12.05,0.58,Loamy,6.020753297,0.492223219,0.574697363
500.32855,3.0449567,1105.6,13.25,0.59,Loamy,6.274752331,0.64789309,0.35730198
708.3541,12.764147,1561.6,14.55,0.65,Volcanic,5.2459366,0.302640183,0.445701713
570.6675,25.662413,543.1,14.75,0.61,Loamy,5.940620238,0.217463873,0.644750379
917.1353,16.941868,1041.7,13.9,0.62,Sandy,6.404212158,0.365497624,0.309148036
551.5326,5.2290335,1668.5,12.2,0.63,Silt,7.21182347,3.48E-08,0.497656254
703.3599,7.259696,987.6,11.45,0.59,Sandy,5.587042665,0.364101557,0.546784384
396.17255,7.230681,1470.4,14.7,0.63,Silt,6.124638434,0.03633117,0.498854283
1022.13354,12.563234,882.1,13.5,0.6,Rocky,4.979813244,0.217313092,0.560235076
812.96906,11.302348,1807.2,13.05,0.66,Volcanic,4.869691401,0.171408138,0.804764749
799.35675,6.5312996,558.5,12.65,0.55,Sandy,6.653928806,0.260577965,0.547397724
794.1614,1.9820317,1957.9,13.85,0.65,Volcanic,4.366725491,0.139371272,0.756874579
639.4631,5.4345727,1723.9,12.8,0.64,Volcanic,5.791280601,0.054768697,0.594003503
842.554,3.698488,1878.4,14.5,0.65,Volcanic,5.674391542,0.139239847,0.570842101
611.71234,14.459661,1288.5,13.1,0.63,Silt,5.966382662,0.018771904,0.428915493
795.9156,11.987268,1358.7,13.45,0.63,Volcanic,5.231154426,0.472422795,0.440439988
842.5878,18.014141,1686.4,14,0.68,Volcanic,4.414850684,0.379276979,0.666438898
641.85486,10.20253,930.4,11.7,0.59,Sandy,6.675482851,0.780648773,0.239878655
832.8712,7.9627376,1337.3,14.85,0.62,Volcanic,4.037738831,0.633529206,0.410971222
508.8209,12.644486,1175.1,12.7,0.62,Loamy,5.726735428,0.687409525,0.450640271
235.23508,10.051492,1653.3,12.85,0.65,Silt,6.201367556,0.005887903,0.566035687
746.5847,10.3004055,486.4,13.45,0.56,Sandy,5.719498422,0.298151641,0.595278499
840.87164,7.839346,639.7,13.45,0.56,Rocky,4.435367799,0.22376503,0.516531585
629.72546,16.705343,1991,14,0.69,Silt,5.979547358,0.127946999,0.636163048
385.8537,3.3845272,1636,12.75,0.63,Silt,6.422910362,0.234806072,0.416620045
293.50955,2.4684594,1628.8,12.55,0.62,Silt,5.880206727,9.43E-05,0.444579736
644.47266,5.4385824,385.3,12.6,0.54,Sandy,6.77398858,0.084440228,0.565938219
735.7917,10.967901,1576.2,14.15,0.65,Volcanic,5.241644238,0.396451717,0.704100024
749.7395,8.029209,1286.9,12.25,0.61,Volcanic,5.228278986,0.376622143,0.447923077
708.6726,5.388003,1088.5,13.95,0.59,Sandy,5.929901996,0.361877274,0.457516218
656.48004,9.558772,729.4,11.7,0.58,Sandy,5.014769599,0.256000916,0.560052128
401.50967,25.353107,1783.3,13.15,0.71,Silt,7.114956049,0.126469053,0.392606462
585.0743,0.37514654,1137.7,12.25,0.58,Loamy,5.974417025,0.312821521,0.603784269
778.28925,3.876205,1121.3,12.75,0.59,Sandy,4.988262042,0.100623288,0.548026824
653.0688,6.338085,1400.6,12.3,0.62,Volcanic,5.414809666,0.396935235,0.363814634
747.023,12.005184,1319.9,14.8,0.63,Volcanic,4.003761497,0.589234304,0.344451309
586.2007,39.819324,557.6,13.95,0.66,Loamy,6.152427817,0.024358223,0.735057336
667.496,5.9822187,1655,13.4,0.64,Volcanic,4.331604897,0.158710424,0.781277787
748.20746,13.152989,1151,13.1,0.62,Sandy,6.124569942,0.741227347,0.25222847
613.4636,11.118365,1072.3,11.85,0.61,Loamy,6.467949863,0.903066372,0.508912727
688.63477,2.5060813,1569.9,14,0.62,Volcanic,4.117729226,1.01E-08,0.719642648
402.39825,17.431797,1853.8,14.05,0.69,Silt,5.73751037,0.021181058,0.536184069
630.41345,2.244286,1862.7,13.65,0.64,Silt,5.511640252,0.20960928,0.762623424
723.94275,18.0124,1541.6,13.6,0.66,Volcanic,5.213055857,0.053270707,0.46342504
684.0361,5.9594846,846.3,12.5,0.57,Sandy,6.359656848,0.322809779,0.402870201
431.3645,20.883362,1353.6,13.6,0.66,Silt,6.102420255,0.035442914,0.428925544
860.88916,12.278118,795,12.75,0.59,Rocky,4.272913833,0.198905387,0.461770171
698.92773,17.939735,1198.6,13.05,0.64,Sandy,5.384754545,0.061231705,0.561440389
833.18524,19.479332,1425.1,12.2,0.66,Volcanic,4.491138832,0.16692703,0.661350086
411.26138,21.753748,1494.4,11.75,0.67,Silt,5.8362992,0.084468462,0.48686523
798.12103,1.4956666,1046.1,13.65,0.58,Sandy,5.36235421,0.149517551,0.503498054
580.6723,5.999847,1381.1,13.05,0.61,Peaty,4.528687492,0.040036971,0.635862642
416.33923,3.3266792,1856.4,14.35,0.64,Silt,6.934257703,0.060011279,0.447199126
724.5819,1.8867223,1263.8,13.2,0.59,Volcanic,4.271490977,0.033548732,0.400140133
731.7884,7.211006,807.2,13.85,0.58,Sandy,5.887665699,0.289740984,0.485577674
764.61456,7.201251,1213,12.7,0.61,Volcanic,5.600510414,0.389386292,0.439595728
673.3799,2.76646,430.9,13.05,0.53,Sandy,6.700075725,0.252335866,0.488811468
757.1491,1.4599929,1198.6,11.9,0.59,Sandy,5.459316801,0.751701449,0.287819193
730.5115,12.091201,1334.9,14.2,0.63,Volcanic,4.254688439,0.054786634,0.374944906
608.57294,10.602878,695.7,13.55,0.58,Loamy,5.147386676,0.247081081,0.64975872
441.2696,9.411427,1859.3,14.2,0.66,Silt,6.250316213,0.212242682,0.603616455
556.58154,15.1181965,1589.8,13.5,0.66,Silt,5.885487177,0.089268565,0.730353893
408.72238,5.356321,1377.2,13.4,0.61,Peaty,5.685924272,0.038164503,0.448947218
328.99985,11.758385,1501.3,13.25,0.64,Silt,5.999678421,1.31E-07,0.430243094
662.96875,21.48692,740.7,12.9,0.61,Sandy,5.74300452,0.401167083,0.558605239
303.12317,0.5050355,1575.9,13.55,0.61,Peaty,4.489177283,1.03E-06,0.545074509
700.394,1.9536524,1306.2,14.1,0.6,Volcanic,4.27120897,0.068108298,0.371181855
829.98035,7.725165,1826.8,13.15,0.65,Volcanic,4.872967445,0.163883957,0.80599083
522.3504,6.25932,1666.4,11.75,0.64,Silt,7.353129001,0.010205835,0.473798563
432.54065,10.667967,1801.7,13.45,0.66,Silt,6.892378897,0.09937932,0.49736363
596.96045,26.081364,971.2,12.45,0.65,Loamy,6.412882581,0.904500571,0.277980853
855.2364,13.283992,757.4,12.3,0.59,Rocky,4.732460521,0.030868188,0.552038796
626.6314,19.314589,1530.4,13.45,0.67,Silt,5.813230015,0.197280408,0.420132836
768.90674,5.695223,1467.6,13.15,0.62,Volcanic,5.802305182,0.04125622,0.548115812
632.4924,8.469669,1612.6,14.9,0.64,Silt,7.057102796,0.081528147,0.391597622
643.86774,23.342066,1669,12.95,0.69,Volcanic,4.001028423,0.050006869,0.748278497
513.3883,19.313427,1460.1,12.35,0.66,Silt,7.05496612,0.009059805,0.528243889
603.406,4.8836975,1725.3,13.4,0.64,Silt,5.559410908,0.127775005,0.507402901
549.1137,6.398175,289.9,12.35,0.53,Loamy,5.056559497,0.122360218,0.563282147
612.5021,7.3738832,550.2,13.05,0.56,Loamy,5.551860039,0.026329282,0.6643078
687.5948,8.772305,2038.2,14.45,0.67,Volcanic,5.368226151,0.13462111,0.628002492
945.3568,1.0674825,1417.5,11.55,0.6,Volcanic,4.421718856,0.082824883,0.604309482
320.72507,4.949014,1343.9,11.6,0.61,Peaty,5.02110616,1.14E-08,0.386869098
375.8042,12.344337,1850.3,12.85,0.67,Silt,5.289374945,0.184552021,0.533914749
505.25302,39.932186,1976.2,12.4,0.77,Silt,6.412576356,0.022560852,0.58526647
817.6941,18.070463,1192.9,13.15,0.64,Sandy,6.117015001,0.778222415,0.499542541
668.15155,3.270398,1193.4,13.7,0.59,Sandy,6.243852746,0.891999185,0.238609179
479.31125,8.776728,1380.8,13.65,0.62,Silt,6.257245356,0.083424338,0.431728599
783.677,24.1422,797.6,12.15,0.63,Sandy,5.933261293,0.430398295,0.474593033
679.1616,8.133283,848.4,13.15,0.58,Sandy,5.679605189,0.308542052,0.556484059
834.3536,10.367101,597.2,13.65,0.57,Sandy,4.960487994,0.31049136,0.592653366
507.50168,5.0141234,1676.8,13.5,0.63,Silt,6.507841934,0.025761439,0.548707946
674.843,32.795967,1299.8,13.55,0.69,Volcanic,4.969756173,0.972079552,0.516987271
648.79944,3.5610461,1646.7,13.4,0.63,Volcanic,5.630260347,0.018309689,0.57224859
628.17474,18.625628,1007.2,12.7,0.63,Loamy,5.900887889,0.617546902,0.530037983
855.8754,8.040479,749.1,13.05,0.57,Rocky,5.671746268,0.025550454,0.601114077
782.8814,4.0686026,820.7,14.3,0.57,Sandy,6.476294482,0.319773276,0.523799249
765.71216,15.156538,1599.8,14.25,0.66,Volcanic,4.061815948,0.224198233,0.660760348
640.91986,25.823397,1447.4,12.85,0.68,Volcanic,5.619730448,0.026374504,0.557464696
428.64127,13.345416,1915.6,12.15,0.68,Silt,6.646997291,0.119552751,0.50504189
682.3821,3.485978,2138.5,14.45,0.66,Volcanic,4.476456099,0.211339363,0.758998734
1003.4345,23.123165,1182.2,13.65,0.65,Sandy,6.208891989,0.399115929,0.274385561
363.24857,8.931987,1612.4,13,0.64,Silt,6.581278167,0.136419242,0.598319884
828.5322,10.721512,592.1,12.25,0.57,Sandy,5.220753486,0.271513995,0.624570833
680.2488,7.1811347,568.3,12.1,0.56,Sandy,5.57020596,0.433817887,0.579861603
276.6052,6.2444873,1719.7,13.5,0.64,Silt,6.112775137,0.285715682,0.534213769
392.29877,5.8429794,1697.7,13.95,0.64,Silt,7.050420754,0.153943982,0.472547317
865.6767,4.7197785,1440.7,14.9,0.62,Volcanic,5.644777597,0.096073075,0.500402663
617.0832,24.603285,1181.8,12.45,0.66,Loamy,5.824166533,0.092836896,0.484834741
425.1166,28.446945,1558.6,12.45,0.7,Silt,5.675061987,0.065082588,0.670308084
724.34436,33.23951,750.2,13.1,0.65,Sandy,4.987327122,0.469045521,0.528454283
709.637,1.0190023,993,12.5,0.57,Sandy,6.128989937,0.424357556,0.361993806
759.17444,8.772279,582.4,14.5,0.56,Sandy,5.989506107,0.290472694,0.522632389
571.6264,6.7860394,1581.2,13.25,0.63,Silt,6.450217665,0.016139874,0.475264281
241.63023,7.4265685,1661.6,12.1,0.64,Silt,5.848460063,0.003287831,0.442074434
205.86292,2.5347846,1591.3,12.85,0.62,Silt,6.356803403,1.58E-05,0.559395285
576.6772,33.286556,321.9,12.6,0.62,Loamy,6.201311906,0.229066512,0.675828714
623.46893,5.945678,844.7,12.85,0.57,Loamy,6.041524936,0.197094039,0.617773747
649.87897,1.7971578,900.1,13.5,0.57,Sandy,5.323120982,0.668955604,0.491627246
760.1914,3.5463595,1181.9,13.45,0.59,Sandy,6.594223816,0.780495984,0.238943133
739.4803,4.8144636,825.3,13.4,0.57,Sandy,4.803036364,0.337877071,0.519882494
324.78577,5.94897,1665,13.65,0.64,Silt,7.051637084,0.101146025,0.351209774
343.0155,26.664206,1707.9,11.55,0.7,Silt,7.081515042,0.024495133,0.497511565
587.8492,13.920897,737.8,13.65,0.59,Loamy,6.016793916,0.205027441,0.682436858
934.379,1.7503169,1383,13.25,0.6,Volcanic,4.160718326,0.069716652,0.562247776
358.92273,5.8213706,1739.7,12.35,0.64,Silt,5.760606724,0.004845154,0.609015485
286.18732,2.1547751,1340.6,12.8,0.6,Peaty,5.670863552,2.25E-08,0.457050642
725.47546,5.289767,1200.5,13.65,0.6,Sandy,5.075589693,0.043308911,0.530263769
606.73157,4.210642,402.6,12.95,0.54,Loamy,5.738147258,0.150609008,0.650486623
289.57983,7.264153,1327,13.55,0.61,Peaty,4.194851412,2.51E-08,0.324054615
941.4087,47.578197,782.8,12.6,0.7,Sandy,4.848963567,0.087614732,0.485683718
357.36966,15.401091,1357.5,12.9,0.64,Silt,6.075423813,0.012266242,0.527331883
661.64307,6.083312,1803.2,13.7,0.65,Volcanic,5.511879481,0.107640758,0.561024043
783.41394,9.942962,1218.4,14.6,0.61,Volcanic,5.612493645,0.468518358,0.40605504
764.39703,3.0007794,995.8,14.25,0.58,Sandy,6.642769639,0.495878468,0.478480988
658.92554,9.220897,1429.6,13.7,0.63,Volcanic,5.373733443,0.362304629,0.459410126
718.57117,8.00111,655.6,14.65,0.57,Sandy,5.769581235,0.452271593,0.469502331
882.8078,17.539904,631.2,14.55,0.59,Rocky,5.692554404,0.3027391,0.553854236
565.0046,8.778391,1202.6,12.8,0.61,Loamy,5.554941054,0.729493478,0.395285444
440.38754,4.3889933,1640.8,12.35,0.63,Silt,5.903370361,0.035603461,0.48142199
680.658,6.6492567,1533.4,13.85,0.63,Volcanic,4.306534853,0.013086401,0.746418978
731.3761,44.89459,954.7,14.25,0.7,Sandy,5.981346729,0.158084593,0.590116922
488.46014,10.768364,660.9,11.35,0.58,Loamy,5.549870506,0.113646017,0.632380741
875.1697,0.9729097,1285.4,13.85,0.59,Volcanic,5.258812089,0.145951887,0.52516992
684.38824,3.5154161,1198.1,12.45,0.59,Sandy,5.704215513,0.800227274,0.227764441
498.5915,12.230188,625.7,13.05,0.58,Loamy,6.231093431,0.034567352,0.625523991
